05:27:36.405 WARN  logback.warn - Remember me
05:29:01.959 WARN  Assignment1$SimpleActorLogger - Remember me
05:29:51.216 WARN  Assignment1$SimpleActorLogger - Remember me
05:30:15.634 WARN  Assignment1$SimpleActorLogger - Remember me
05:30:21.519 WARN  Assignment1$SimpleActorLogger - Remember me
05:52:42.431 WARN  Assignment1$SimpleActorLogger - Remember me
05:53:04.856 WARN  Assignment1$SimpleActorLogger - Remember me
05:54:09.329 WARN  Assignment1$SimpleActorLogger - Remember me
05:55:48.108 WARN  Assignment1$SimpleActorLogger - Remember me
05:58:37.390 WARN  Assignment1$SimpleActorLogger - Remember me
05:58:55.865 WARN  Assignment1$SimpleActorLogger - Remember me
05:59:11.506 WARN  Assignment1$SimpleActorLogger - Remember me
